event_id,timestamp,source,event_type,principal,namespace_or_region,resource_id,resource_type,ttl_minutes,public_ip,privileged,controller_owner,tags_present,hour_of_day,instance_type,sensitive_resource,burst_group_id,is_risky,anomaly_type,severity
CLD-00419,2026-06-12T00:18:59,cloud,CreateSnapshot,svc-backup,us-east-1,i-awyy-3174,ec2-instance,297.2,,False,,True,0,r5.xlarge,False,,False,NORMAL,NONE
CLD-00136,2026-06-12T00:20:06,cloud,StopInstances,dev-sgupta,eu-west-1,i-yceo-8569,ec2-instance,216.0,,False,,True,0,m5.large,False,,False,NORMAL,NONE
CLD-00485,2026-06-12T00:22:23,cloud,DeleteObject,svc-cicd-pipeline,us-west-2,i-deuk-7875,ec2-instance,466.1,,False,,True,0,r5.xlarge,False,,False,NORMAL,NONE
CLD-00037,2026-06-12T00:56:42,cloud,AuthorizeSecurityGroupIngress,lambda-prod-fn,us-west-2,i-zxoi-9201,ec2-instance,372.9,,False,,True,0,t3.medium,False,,False,NORMAL,NONE
CLD-00200,2026-06-12T02:14:20,cloud,PutObject,svc-backup,us-east-1,i-bfby-3248,ec2-instance,373.9,,False,,True,2,t3.medium,False,,False,NORMAL,NONE
CLD-00201,2026-06-12T02:15:05,cloud,AuthorizeSecurityGroupIngress,dev-arao,us-west-2,i-vqrz-3878,ec2-instance,88.1,,False,,True,2,t3.large,False,,False,NORMAL,NONE
CLD-00420,2026-06-12T02:42:18,cloud,AuthorizeSecurityGroupIngress,svc-cicd-pipeline,us-west-2,i-plub-2975,ec2-instance,474.7,,False,,True,2,t3.large,False,,False,NORMAL,NONE
CLD-00059,2026-06-12T02:42:47,cloud,CreateKeyPair,dev-arao,eu-west-1,i-jkqh-2638,ec2-instance,63.0,,False,,True,2,m5.large,False,,False,NORMAL,NONE
CLD-00156,2026-06-12T02:44:13,cloud,CreateSnapshot,lambda-report-fn,us-west-2,i-sjim-9955,ec2-instance,101.1,,False,,True,2,m5.large,False,,False,NORMAL,NONE
CLD-00429,2026-06-12T03:30:53,cloud,GetObject,svc-autoscaler,us-east-1,i-zbrg-7337,ec2-instance,417.4,,False,,True,3,m5.large,False,,False,NORMAL,NONE
CLD-00441,2026-06-12T03:34:44,cloud,RunInstances,svc-backup,us-west-2,i-gubu-6963,ec2-instance,202.3,,False,,True,3,t3.medium,False,,False,NORMAL,NONE
CLD-00342,2026-06-12T04:43:27,cloud,AttachVolume,svc-logging,eu-west-1,i-eyqv-7841,ec2-instance,162.8,,False,,True,4,t3.large,False,,False,NORMAL,NONE
CLD-00287,2026-06-12T04:50:45,cloud,GetObject,svc-autoscaler,eu-west-1,i-bhio-2795,ec2-instance,471.0,,False,,True,4,t3.medium,False,,False,NORMAL,NONE
CLD-00475,2026-06-12T05:48:16,cloud,CreateSnapshot,ops-mlee,us-east-1,i-hqtc-6435,ec2-instance,443.1,,False,,True,5,t3.large,False,,False,NORMAL,NONE
CLD-00131,2026-06-12T06:02:33,cloud,CreateSecurityGroup,lambda-report-fn,us-west-2,i-zzla-1659,ec2-instance,373.4,,False,,True,6,t3.micro,False,,False,NORMAL,NONE
CLD-00175,2026-06-12T06:13:14,cloud,StartInstances,svc-cicd-pipeline,us-west-2,i-xgxb-4990,ec2-instance,475.0,,False,,True,6,t3.large,False,,False,NORMAL,NONE
CLD-00159,2026-06-12T06:23:25,cloud,CreateSecurityGroup,lambda-notify-fn,us-west-2,i-tzja-5497,ec2-instance,33.6,,False,,True,6,t3.medium,False,,False,NORMAL,NONE
CLD-00193,2026-06-12T08:25:59,cloud,PutObject,svc-monitoring,eu-west-1,i-dnay-6062,ec2-instance,444.7,,False,,True,8,t3.large,False,,False,NORMAL,NONE
CLD-00095,2026-06-12T08:27:14,cloud,GetObject,dev-jsmith,eu-west-1,i-kdgf-7624,ec2-instance,355.9,,False,,True,8,t3.large,False,,False,NORMAL,NONE
CLD-00389,2026-06-12T08:30:10,cloud,CreateKeyPair,lambda-prod-fn,us-east-1,i-qihd-8365,ec2-instance,296.5,,False,,True,8,t3.large,False,,False,NORMAL,NONE
CLD-00469,2026-06-12T08:32:06,cloud,StartInstances,lambda-report-fn,us-west-2,i-drfr-1959,ec2-instance,393.9,,False,,True,8,m5.large,False,,False,NORMAL,NONE
CLD-00271,2026-06-12T08:49:17,cloud,CreateSecurityGroup,dev-arao,eu-west-1,i-fphj-5745,ec2-instance,318.9,,False,,True,8,t3.large,False,,False,NORMAL,NONE
CLD-00304,2026-06-12T10:35:05,cloud,DeleteObject,lambda-notify-fn,us-west-2,i-qgkv-4052,ec2-instance,451.5,,False,,True,10,m5.large,False,,False,NORMAL,NONE
CLD-00305,2026-06-12T10:54:46,cloud,PutObject,svc-cicd-pipeline,eu-west-1,i-asfs-2758,ec2-instance,447.8,,False,,True,10,r5.xlarge,False,,False,NORMAL,NONE
CLD-00067,2026-06-12T11:37:12,cloud,CreateBucket,svc-autoscaler,eu-west-1,i-aeto-5088,ec2-instance,330.1,,False,,True,11,t3.micro,False,,False,NORMAL,NONE
CLD-00457,2026-06-12T11:44:48,cloud,StopInstances,svc-backup,us-west-2,i-pjbm-3430,ec2-instance,71.0,,False,,True,11,m5.large,False,,False,NORMAL,NONE
CLD-00241,2026-06-12T12:40:49,cloud,DeleteObject,dev-sgupta,us-west-2,i-zqvr-5155,ec2-instance,366.3,,False,,True,12,t3.medium,False,,False,NORMAL,NONE
CLD-00146,2026-06-12T12:42:47,cloud,AuthorizeSecurityGroupIngress,svc-autoscaler,us-west-2,i-ubmg-7246,ec2-instance,203.7,,False,,True,12,t3.large,False,,False,NORMAL,NONE
CLD-00284,2026-06-12T13:11:44,cloud,DescribeInstances,svc-cicd-pipeline,eu-west-1,i-dero-6456,ec2-instance,391.8,,False,,True,13,t3.large,False,,False,NORMAL,NONE
