event_id,timestamp,source,event_type,principal,namespace_or_region,resource_id,resource_type,ttl_minutes,public_ip,privileged,controller_owner,tags_present,hour_of_day,instance_type,sensitive_resource,burst_group_id,is_risky,anomaly_type,severity
K8S-00475,2026-06-12T00:15:09,k8s,rbac.rolebinding.create,svc-cicd-pipeline,ci-jobs,pod-bdoz-3483,job-pod,85.5,,False,,True,0,,False,,False,NORMAL,NONE
K8S-00477,2026-06-12T00:57:48,k8s,pod.exec,dev-jsmith,production,pod-oqbz-9770,job-pod,112.5,,False,CronJob,True,0,,False,,False,NORMAL,NONE
K8S-00508,2026-06-12T01:28:44,k8s,pod.create,dev-jsmith,production,pod-dkvx-8711,job-pod,89.3,,False,Deployment,True,1,,False,,False,NORMAL,NONE
K8S-00271,2026-06-12T01:35:35,k8s,configmap.create,svc-cicd-pipeline,production,pod-luka-9515,job-pod,5.8,,False,Job,True,1,,False,,False,NORMAL,NONE
K8S-00400,2026-06-12T01:54:52,k8s,configmap.create,svc-backup,ci-jobs,pod-boev-4401,job-pod,10.6,,False,Job,False,1,,False,,False,NORMAL,NONE
K8S-00297,2026-06-12T02:27:07,k8s,service.create,svc-cicd-pipeline,monitoring,pod-bwse-2650,job-pod,42.4,,False,CronJob,False,2,,False,,False,NORMAL,NONE
K8S-00227,2026-06-12T02:33:51,k8s,deployment.scale,svc-etl-batch,monitoring,pod-rpzs-4937,job-pod,109.0,,False,Job,True,2,,False,,False,NORMAL,NONE
K8S-00466,2026-06-12T03:04:51,k8s,pod.create,dev-sgupta,production,pod-tvdy-1195,job-pod,52.3,,False,Deployment,True,3,,False,,False,NORMAL,NONE
K8S-00358,2026-06-12T03:19:49,k8s,rbac.rolebinding.create,dev-sgupta,production,pod-pfjp-5993,job-pod,65.3,,False,CronJob,True,3,,False,,False,NORMAL,NONE
K8S-00561,2026-06-12T04:04:23,k8s,service.create,ops-mlee,staging,pod-uzgg-5617,job-pod,24.8,,False,Deployment,True,4,,False,,False,NORMAL,NONE
K8S-00201,2026-06-12T05:10:32,k8s,rbac.rolebinding.create,svc-etl-batch,monitoring,pod-vzeh-1587,job-pod,69.1,,False,Deployment,True,5,,False,,False,NORMAL,NONE
K8S-00323,2026-06-12T05:38:57,k8s,pod.create,svc-monitoring,default,pod-qhoa-1362,job-pod,26.4,,False,Deployment,True,5,,False,,False,NORMAL,NONE
K8S-00530,2026-06-12T07:15:35,k8s,pod.exec,dev-jsmith,staging,pod-pwrz-8504,job-pod,111.7,,False,Job,False,7,,False,,False,NORMAL,NONE
K8S-00596,2026-06-12T08:04:09,k8s,service.delete,svc-backup,monitoring,pod-prpe-8952,job-pod,69.4,,False,,True,8,,False,,False,NORMAL,NONE
K8S-00432,2026-06-12T08:48:54,k8s,pod.exec,svc-etl-batch,production,pod-bpmi-6758,job-pod,60.0,,False,Job,True,8,,False,,False,NORMAL,NONE
K8S-00237,2026-06-12T08:58:36,k8s,pod.update,dev-arao,default,pod-cstf-4602,job-pod,20.7,,False,,True,8,,False,,False,NORMAL,NONE
K8S-00249,2026-06-12T09:05:09,k8s,rbac.rolebinding.create,admin-pkumar,default,pod-mwsu-4485,job-pod,109.2,,False,CronJob,True,9,,False,,False,NORMAL,NONE
K8S-00342,2026-06-12T09:16:02,k8s,rbac.rolebinding.create,admin-pkumar,monitoring,pod-nenv-9615,job-pod,76.8,,False,CronJob,False,9,,False,,False,NORMAL,NONE
K8S-00328,2026-06-12T09:45:38,k8s,pod.exec,svc-backup,production,pod-yyhu-9538,job-pod,81.6,,False,Job,True,9,,False,,False,NORMAL,NONE
K8S-00454,2026-06-12T10:17:22,k8s,service.delete,admin-pkumar,default,pod-wkpn-5267,job-pod,12.1,,False,,True,10,,False,,False,NORMAL,NONE
K8S-00281,2026-06-12T10:30:12,k8s,service.create,svc-autoscaler,production,pod-wizq-3579,job-pod,15.0,,False,CronJob,True,10,,False,,False,NORMAL,NONE
K8S-00597,2026-06-12T10:46:41,k8s,pod.update,svc-backup,ci-jobs,pod-tsbu-3235,job-pod,8.4,,False,CronJob,True,10,,False,,False,NORMAL,NONE
K8S-00255,2026-06-12T11:37:23,k8s,deployment.scale,dev-sgupta,production,pod-vsca-9542,job-pod,77.9,,False,CronJob,True,11,,False,,False,NORMAL,NONE
K8S-00490,2026-06-12T11:51:15,k8s,pod.delete,svc-monitoring,default,pod-tnlf-7162,job-pod,94.4,,False,Deployment,True,11,,False,,False,NORMAL,NONE
K8S-00389,2026-06-12T12:21:16,k8s,configmap.create,svc-backup,default,pod-sker-7481,job-pod,118.1,,False,Deployment,True,12,,False,,False,NORMAL,NONE
K8S-00254,2026-06-12T12:28:07,k8s,service.create,dev-sgupta,default,pod-zyfl-6918,job-pod,49.6,,False,,True,12,,False,,False,NORMAL,NONE
K8S-00483,2026-06-12T12:28:14,k8s,pod.delete,dev-jsmith,staging,pod-zilx-9570,job-pod,57.7,,False,Job,True,12,,False,,False,NORMAL,NONE
K8S-00422,2026-06-12T12:49:28,k8s,pod.delete,dev-sgupta,ci-jobs,pod-ryki-8649,job-pod,107.3,,False,Deployment,True,12,,False,,False,NORMAL,NONE
